"Date d'admission","Hors soins intensifs","Aux soins intensifs"
"2020-03-12 00:00:00",0,
"2020-03-13 00:00:00",0,
"2020-03-14 00:00:00",0,
"2020-03-15 00:00:00",2,0
"2020-03-16 00:00:00",5,0
"2020-03-17 00:00:00",2,4
"2020-03-18 00:00:00",3,4
"2020-03-19 00:00:00",4,6
"2020-03-20 00:00:00",9,10
"2020-03-21 00:00:00",11,13
"2020-03-22 00:00:00",25,20
"2020-03-23 00:00:00",36,31
"2020-03-24 00:00:00",43,35
"2020-03-25 00:00:00",63,43
"2020-03-26 00:00:00",91,50
"2020-03-27 00:00:00",107,57
"2020-03-28 00:00:00",120,72
"2020-03-29 00:00:00",157,78
"2020-03-30 00:00:00",204,82
"2020-03-31 00:00:00",225,82
"2020-04-01 00:00:00",269,96
"2020-04-02 00:00:00",334,107
"2020-04-03 00:00:00",348,130
"2020-04-04 00:00:00",371,154
"2020-04-05 00:00:00",369,164
"2020-04-06 00:00:00",419,164
"2020-04-07 00:00:00",451,181
"2020-04-08 00:00:00",483,196
"2020-04-09 00:00:00",547,186
"2020-04-10 00:00:00",612,146
"2020-04-11 00:00:00",634,156
"2020-04-12 00:00:00",664,166
"2020-04-13 00:00:00",730,161
"2020-04-14 00:00:00",737,190
"2020-04-15 00:00:00",788,187
"2020-04-16 00:00:00",822,196
"2020-04-17 00:00:00",879,193
"2020-04-18 00:00:00",917,183
"2020-04-19 00:00:00",970,198
"2020-04-20 00:00:00",1022,201
"2020-04-21 00:00:00",1077,199
"2020-04-22 00:00:00",1203,207
"2020-04-23 00:00:00",1233,227
"2020-04-24 00:00:00",1297,208
"2020-04-25 00:00:00",1312,204
"2020-04-26 00:00:00",1328,210
"2020-04-27 00:00:00",1402,217
"2020-04-28 00:00:00",1423,222
"2020-04-29 00:00:00",1464,213
"2020-04-30 00:00:00",1491,218
"2020-05-01 00:00:00",1509,222
"2020-05-02 00:00:00",1532,216
"2020-05-03 00:00:00",1548,217
"2020-05-04 00:00:00",1599,218
"2020-05-05 00:00:00",1621,213
"2020-05-06 00:00:00",1605,222
"2020-05-07 00:00:00",1616,206
"2020-05-08 00:00:00",1623,203
"2020-05-09 00:00:00",1627,198
"2020-05-10 00:00:00",1640,192
"2020-05-11 00:00:00",1650,184
"2020-05-12 00:00:00",1672,194
"2020-05-13 00:00:00",1639,190
"2020-05-14 00:00:00",1627,191
"2020-05-15 00:00:00",1603,185
"2020-05-16 00:00:00",1580,182
"2020-05-17 00:00:00",1586,176
"2020-05-18 00:00:00",1599,178
"2020-05-19 00:00:00",1359,183
"2020-05-20 00:00:00",1325,175
"2020-05-21 00:00:00",1305,171
"2020-05-22 00:00:00",1282,167
"2020-05-23 00:00:00",1262,170
"2020-05-24 00:00:00",1244,179
"2020-05-25 00:00:00",1220,181
"2020-05-26 00:00:00",1192,182
"2020-05-27 00:00:00",1150,177
"2020-05-28 00:00:00",1088,171
"2020-05-29 00:00:00",1027,165
"2020-05-30 00:00:00",1023,170
"2020-05-31 00:00:00",1019,161
"2020-06-01 00:00:00",1011,158
"2020-06-02 00:00:00",985,155
"2020-06-03 00:00:00",932,144
"2020-06-04 00:00:00",895,129
"2020-06-05 00:00:00",849,127
"2020-06-06 00:00:00",840,126
"2020-06-07 00:00:00",857,119
"2020-06-08 00:00:00",844,117
"2020-06-09 00:00:00",797,117
"2020-06-10 00:00:00",757,114
"2020-06-11 00:00:00",733,107
"2020-06-12 00:00:00",686,102
"2020-06-13 00:00:00",684,85
"2020-06-14 00:00:00",689,82
"2020-06-15 00:00:00",641,77
"2020-06-16 00:00:00",618,72
"2020-06-17 00:00:00",572,65
"2020-06-18 00:00:00",512,62
"2020-06-19 00:00:00",467,62
"2020-06-20 00:00:00",460,61
"2020-06-21 00:00:00",463,57
"2020-06-22 00:00:00",459,56
"2020-06-23 00:00:00",448,52
"2020-06-24 00:00:00",437,50
"2020-06-25 00:00:00",430,48
"2020-06-26 00:00:00",414,45
"2020-06-27 00:00:00",413,43
"2020-06-28 00:00:00",411,45
"2020-06-29 00:00:00",398,38
"2020-06-30 00:00:00",390,33
"2020-07-01 00:00:00",380,32
"2020-07-02 00:00:00",362,31
"2020-07-03 00:00:00",349,27
"2020-07-04 00:00:00",346,26
"2020-07-05 00:00:00",353,25
"2020-07-06 00:00:00",322,26
"2020-07-07 00:00:00",305,27
"2020-07-08 00:00:00",282,27
"2020-07-09 00:00:00",295,24
"2020-07-10 00:00:00",292,22
"2020-07-11 00:00:00",287,20
"2020-07-12 00:00:00",285,21
"2020-07-13 00:00:00",274,21
"2020-07-14 00:00:00",265,20
"2020-07-15 00:00:00",257,20
"2020-07-16 00:00:00",244,16
"2020-07-17 00:00:00",233,15
"2020-07-18 00:00:00",233,18
"2020-07-19 00:00:00",234,17
"2020-07-20 00:00:00",232,15
"2020-07-21 00:00:00",219,16
"2020-07-22 00:00:00",207,14
"2020-07-23 00:00:00",208,12
"2020-07-24 00:00:00",194,12
"2020-07-25 00:00:00",187,10
"2020-07-26 00:00:00",193,7
"2020-07-27 00:00:00",185,8
"2020-07-28 00:00:00",181,9
"2020-07-29 00:00:00",190,18
"2020-07-30 00:00:00",174,15
"2020-07-31 00:00:00",159,18
"2020-08-01 00:00:00",155,17
"2020-08-02 00:00:00",154,18
"2020-08-03 00:00:00",148,21
"2020-08-04 00:00:00",148,19
"2020-08-05 00:00:00",146,19
"2020-08-06 00:00:00",133,19
"2020-08-07 00:00:00",132,23
"2020-08-08 00:00:00",134,22
"2020-08-09 00:00:00",136,21
"2020-08-10 00:00:00",130,21
"2020-08-11 00:00:00",131,20
"2020-08-12 00:00:00",126,23
"2020-08-13 00:00:00",126,25
"2020-08-14 00:00:00",124,25
"2020-08-15 00:00:00",124,25
"2020-08-16 00:00:00",120,25
"2020-08-17 00:00:00",118,27
"2020-08-18 00:00:00",120,26
"2020-08-19 00:00:00",121,25
"2020-08-20 00:00:00",113,23
"2020-08-21 00:00:00",108,16
"2020-08-22 00:00:00",103,14
"2020-08-23 00:00:00",103,12
"2020-08-24 00:00:00",106,12
"2020-08-25 00:00:00",94,12
"2020-08-26 00:00:00",100,15
"2020-08-27 00:00:00",100,17
"2020-08-28 00:00:00",100,17
"2020-08-29 00:00:00",100,16
"2020-08-30 00:00:00",94,18
"2020-08-31 00:00:00",90,20
"2020-09-01 00:00:00",86,20
"2020-09-02 00:00:00",77,20
"2020-09-03 00:00:00",81,18
"2020-09-04 00:00:00",74,17
"2020-09-05 00:00:00",81,18
"2020-09-06 00:00:00",84,18
"2020-09-07 00:00:00",87,15
"2020-09-08 00:00:00",96,14
"2020-09-09 00:00:00",104,12
"2020-09-10 00:00:00",108,12
"2020-09-11 00:00:00",106,16
"2020-09-12 00:00:00",102,19
"2020-09-13 00:00:00",102,19
"2020-09-14 00:00:00",107,23
"2020-09-15 00:00:00",101,26
"2020-09-16 00:00:00",104,29
"2020-09-17 00:00:00",103,30
"2020-09-18 00:00:00",97,31
"2020-09-19 00:00:00",104,31
"2020-09-20 00:00:00",115,30
"2020-09-21 00:00:00",137,28
"2020-09-22 00:00:00",145,30
"2020-09-23 00:00:00",153,31
"2020-09-24 00:00:00",166,33
"2020-09-25 00:00:00",172,45
"2020-09-26 00:00:00",172,41
"2020-09-27 00:00:00",171,37
"2020-09-28 00:00:00",200,41
"2020-09-29 00:00:00",209,43
"2020-09-30 00:00:00",217,46
"2020-10-01 00:00:00",236,49
"2020-10-02 00:00:00",247,60
"2020-10-03 00:00:00",251,64
"2020-10-04 00:00:00",280,62
"2020-10-05 00:00:00",310,67
"2020-10-06 00:00:00",322,62
"2020-10-07 00:00:00",331,68
"2020-10-08 00:00:00",337,67
"2020-10-09 00:00:00",343,73
"2020-10-10 00:00:00",336,72
"2020-10-11 00:00:00",351,75
"2020-10-12 00:00:00",352,85
"2020-10-13 00:00:00",376,80
"2020-10-14 00:00:00",377,83
"2020-10-15 00:00:00",381,87
"2020-10-16 00:00:00",393,85
"2020-10-17 00:00:00",404,88
"2020-10-18 00:00:00",406,92
"2020-10-19 00:00:00",429,100
"2020-10-20 00:00:00",434,94
"2020-10-21 00:00:00",413,101
"2020-10-22 00:00:00",404,99
"2020-10-23 00:00:00",421,93
"2020-10-24 00:00:00",420,97
"2020-10-25 00:00:00",416,93
"2020-10-26 00:00:00",436,91
"2020-10-27 00:00:00",437,89
"2020-10-28 00:00:00",431,78
"2020-10-29 00:00:00",434,81
"2020-10-30 00:00:00",422,82
"2020-10-31 00:00:00",412,84
"2020-11-01 00:00:00",418,81
"2020-11-02 00:00:00",442,85
"2020-11-03 00:00:00",459,81
"2020-11-04 00:00:00",457,82
"2020-11-05 00:00:00",463,77
"2020-11-06 00:00:00",446,79
"2020-11-07 00:00:00",451,77
"2020-11-08 00:00:00",465,76
"2020-11-09 00:00:00",453,82
"2020-11-10 00:00:00",490,84
"2020-11-11 00:00:00",498,86
"2020-11-12 00:00:00",499,85
"2020-11-13 00:00:00",502,82
"2020-11-14 00:00:00",499,89
"2020-11-15 00:00:00",505,87
"2020-11-16 00:00:00",539,100
"2020-11-17 00:00:00",553,100
"2020-11-18 00:00:00",551,102
"2020-11-19 00:00:00",529,96
"2020-11-20 00:00:00",548,99
"2020-11-21 00:00:00",540,103
"2020-11-22 00:00:00",537,98
"2020-11-23 00:00:00",560,96
"2020-11-24 00:00:00",562,93
"2020-11-25 00:00:00",585,90
"2020-11-26 00:00:00",579,90
"2020-11-27 00:00:00",585,93
"2020-11-28 00:00:00",573,92
"2020-11-29 00:00:00",599,94
"2020-11-30 00:00:00",622,98
"2020-12-01 00:00:00",641,99
"2020-12-02 00:00:00",639,99
"2020-12-03 00:00:00",665,97
"2020-12-04 00:00:00",659,96
"2020-12-05 00:00:00",676,102
"2020-12-06 00:00:00",713,105
"2020-12-07 00:00:00",721,114
"2020-12-08 00:00:00",723,121
"2020-12-09 00:00:00",735,113
"2020-12-10 00:00:00",748,123
"2020-12-11 00:00:00",731,129
"2020-12-12 00:00:00",757,123
"2020-12-13 00:00:00",768,122
"2020-12-14 00:00:00",834,125
"2020-12-15 00:00:00",848,128
"2020-12-16 00:00:00",868,134
"2020-12-17 00:00:00",870,142
"2020-12-18 00:00:00",863,142
"2020-12-19 00:00:00",864,147
"2020-12-20 00:00:00",902,147
"2020-12-21 00:00:00",918,138
"2020-12-22 00:00:00",925,143
"2020-12-23 00:00:00",906,147
"2020-12-24 00:00:00",820,139
"2020-12-25 00:00:00",794,134
"2020-12-26 00:00:00",936,149
"2020-12-27 00:00:00",974,150
"2020-12-28 00:00:00",985,148
"2020-12-29 00:00:00",1059,152
"2020-12-30 00:00:00",1010,165
"2020-12-31 00:00:00",950,167
"2021-01-01 00:00:00",909,166
"2021-01-02 00:00:00",1046,179
"2021-01-03 00:00:00",1106,188
"2021-01-04 00:00:00",1123,194
"2021-01-05 00:00:00",1191,202
"2021-01-06 00:00:00",1178,202
"2021-01-07 00:00:00",1196,207
"2021-01-08 00:00:00",1186,206
"2021-01-09 00:00:00",1177,203
"2021-01-10 00:00:00",1226,212
"2021-01-11 00:00:00",1277,222
"2021-01-12 00:00:00",1287,229
"2021-01-13 00:00:00",1295,230
"2021-01-14 00:00:00",1266,231
"2021-01-15 00:00:00",1248,227
"2021-01-16 00:00:00",1245,215
"2021-01-17 00:00:00",1275,217
"2021-01-18 00:00:00",1288,212
"2021-01-19 00:00:00",1252,216
"2021-01-20 00:00:00",1237,216
"2021-01-21 00:00:00",1214,212
"2021-01-22 00:00:00",1167,216
"2021-01-23 00:00:00",1108,219
"2021-01-24 00:00:00",1104,217
"2021-01-25 00:00:00",1108,217
"2021-01-26 00:00:00",1069,221
"2021-01-27 00:00:00",1052,212
"2021-01-28 00:00:00",1008,209
"2021-01-29 00:00:00",962,201
"2021-01-30 00:00:00",945,191
"2021-01-31 00:00:00",961,183
"2021-02-01 00:00:00",932,178
"2021-02-02 00:00:00",929,177
"2021-02-03 00:00:00",895,175
"2021-02-04 00:00:00",872,168
"2021-02-05 00:00:00",823,159
"2021-02-06 00:00:00",805,158
"2021-02-07 00:00:00",809,160
"2021-02-08 00:00:00",795,145
"2021-02-09 00:00:00",770,148
"2021-02-10 00:00:00",731,143
"2021-02-11 00:00:00",712,137
"2021-02-12 00:00:00",682,130
